"time";"timer";"currentTransformerTransformationRatio";"constMeterImpsNum";"queueSizeCalcMeterAccuracy";"meterSerialNum";"pzemVoltage1";"pzemVoltage2";"pzemVoltage3";"pzemCurrent1";"pzemCurrent2";"pzemCurrent3";"pzemPower1";"pzemPower2";"pzemPower3";"pzemEnergy1";"pzemEnergy2";"pzemEnergy3";"pzemFrequency1";"pzemFrequency2";"pzemFrequency3";"pzemPowerFactor1";"pzemPowerFactor2";"pzemPowerFactor3";"pzemFullCurrent";"pzemFullPower";"pzemFullEnergy";"kyImpsMeter";"impsPeriodMeter";"calcMeterPower";"calcMeterAccuracy"
"2025/1/21 16:10:18 ";"00:00:13,3";"1";"1000";"3";"";"228,90";"235,80";"230,80";"3,96";"0,04";"0,18";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,41";"4,18";"0,92";"0,00";"4";"3,97";"0,91";"1,99"
"2025/1/21 16:10:19 ";"00:00:14,2";"1";"1000";"3";"";"229,00";"235,80";"230,80";"3,96";"0,04";"0,19";"0,91";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,00";"4";"3,97";"0,91";"1,99"
"2025/1/21 16:10:20 ";"00:00:15,2";"1";"1000";"3";"";"229,00";"235,90";"230,80";"3,96";"0,04";"0,19";"0,91";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,00";"4";"3,97";"0,91";"1,99"
"2025/1/21 16:10:21 ";"00:00:16,2";"1";"1000";"3";"";"228,90";"235,90";"230,80";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,00";"5";"3,91";"0,91";"1,99"
"2025/1/21 16:10:22 ";"00:00:17,2";"1";"1000";"3";"";"228,80";"235,80";"230,70";"3,95";"0,04";"0,20";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,43";"4,20";"0,93";"0,00";"5";"3,91";"0,91";"1,99"
"2025/1/21 16:10:23 ";"00:00:18,2";"1";"1000";"3";"";"228,80";"235,80";"230,70";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,00";"5";"3,91";"0,91";"1,99"
"2025/1/21 16:10:24 ";"00:00:19,3";"1";"1000";"3";"";"228,50";"236,00";"230,70";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,00";"5";"3,91";"0,91";"1,99"
"2025/1/21 16:10:25 ";"00:00:20,2";"1";"1000";"3";"";"228,50";"235,90";"231,00";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"6";"3,91";"0,91";"1,99"
"2025/1/21 16:10:26 ";"00:00:21,2";"1";"1000";"3";"";"228,80";"235,90";"230,80";"3,95";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"6";"3,91";"0,91";"1,99"
"2025/1/21 16:10:27 ";"00:00:22,2";"1";"1000";"3";"";"228,80";"235,80";"230,80";"3,95";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"6";"3,91";"0,91";"1,99"
"2025/1/21 16:10:28 ";"00:00:23,2";"1";"1000";"3";"";"228,90";"235,90";"230,80";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"6";"3,91";"0,91";"1,99"
"2025/1/21 16:10:29 ";"00:00:24,2";"1";"1000";"3";"";"228,90";"236,50";"230,80";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,24";"0,41";"4,18";"0,92";"0,01";"7";"3,92";"0,92";"0,52"
"2025/1/21 16:10:30 ";"00:00:25,2";"1";"1000";"3";"";"226,80";"237,00";"230,80";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,24";"0,41";"4,15";"0,91";"0,01";"7";"3,92";"0,92";"0,52"
"2025/1/21 16:10:31 ";"00:00:26,2";"1";"1000";"3";"";"226,70";"237,00";"230,80";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,24";"0,41";"4,14";"0,91";"0,01";"7";"3,92";"0,92";"0,52"
"2025/1/21 16:10:32 ";"00:00:27,2";"1";"1000";"3";"";"228,80";"236,30";"230,60";"3,95";"0,04";"0,20";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,42";"4,19";"0,92";"0,01";"7";"3,92";"0,92";"0,52"
"2025/1/21 16:10:33 ";"00:00:28,2";"1";"1000";"3";"";"228,80";"235,70";"230,60";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"8";"3,95";"0,92";"0,52"
"2025/1/21 16:10:34 ";"00:00:29,2";"1";"1000";"3";"";"228,80";"235,00";"230,60";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"8";"3,95";"0,92";"0,52"
"2025/1/21 16:10:35 ";"00:00:30,2";"1";"1000";"3";"";"228,40";"235,00";"231,80";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"8";"3,95";"0,92";"0,52"
"2025/1/21 16:10:36 ";"00:00:31,2";"1";"1000";"3";"";"228,30";"234,70";"231,80";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"8";"3,95";"0,92";"0,52"
"2025/1/21 16:10:37 ";"00:00:32,2";"1";"1000";"3";"";"228,30";"234,70";"231,80";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"9";"3,92";"0,92";"0,52"
"2025/1/21 16:10:38 ";"00:00:33,2";"1";"1000";"3";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"9";"3,92";"0,92";"0,52"
"2025/1/21 16:10:39 ";"00:00:34,2";"1";"1000";"3";"";"228,30";"234,80";"231,90";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"9";"3,92";"0,92";"0,52"
"2025/1/21 16:10:40 ";"00:00:35,2";"1";"1000";"3";"";"228,30";"234,80";"231,90";"3,94";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"9";"3,92";"0,92";"0,52"
"2025/1/21 16:10:41 ";"00:00:36,2";"1";"1000";"3";"";"228,00";"234,80";"232,20";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,92";"0,01";"10";"3,94";"0,91";"0,23"
"2025/1/21 16:10:42 ";"00:00:37,2";"1";"1000";"3";"";"228,00";"235,20";"232,60";"3,94";"0,04";"0,20";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"49,90";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"10";"3,94";"0,91";"0,23"
"2025/1/21 16:10:43 ";"00:00:38,2";"1";"1000";"3";"";"227,60";"235,20";"232,60";"3,93";"0,04";"0,20";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,22";"0,41";"4,17";"0,91";"0,01";"10";"3,94";"0,91";"0,23"
"2025/1/21 16:10:44 ";"00:00:39,2";"1";"1000";"3";"";"227,70";"235,20";"232,60";"3,93";"0,04";"0,19";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,22";"0,42";"4,16";"0,92";"0,01";"10";"3,94";"0,91";"0,23"
"2025/1/21 16:10:45 ";"00:00:40,2";"1";"1000";"3";"";"227,60";"235,30";"232,70";"3,93";"0,04";"0,19";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,91";"0,01";"11";"3,95";"0,91";"0,23"
"2025/1/21 16:10:46 ";"00:00:41,2";"1";"1000";"3";"";"227,40";"235,30";"232,50";"3,93";"0,04";"0,18";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,91";"0,01";"11";"3,95";"0,91";"0,23"
"2025/1/21 16:10:47 ";"00:00:42,2";"1";"1000";"3";"";"227,40";"235,50";"232,50";"3,93";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"49,90";"50,00";"1,00";"0,23";"0,41";"4,16";"0,92";"0,01";"11";"3,95";"0,91";"0,23"
"2025/1/21 16:10:48 ";"00:00:43,3";"1";"1000";"3";"";"227,80";"236,20";"231,70";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"49,90";"50,00";"1,00";"0,23";"0,41";"4,16";"0,92";"0,01";"12";"3,95";"0,91";"0,23"
"2025/1/21 16:10:49 ";"00:00:44,4";"1";"1000";"3";"";"228,30";"236,00";"231,40";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"49,90";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"12";"3,95";"0,91";"0,23"
"2025/1/21 16:10:50 ";"00:00:45,2";"1";"1000";"3";"";"228,40";"236,00";"231,50";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"12";"3,95";"0,91";"0,23"
"2025/1/21 16:10:51 ";"00:00:46,2";"1";"1000";"3";"";"227,70";"236,00";"231,50";"3,93";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,91";"0,01";"12";"3,95";"0,91";"0,23"
"2025/1/21 16:10:52 ";"00:00:47,2";"1";"1000";"3";"";"227,70";"237,10";"231,50";"3,93";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,91";"0,01";"13";"3,97";"0,91";"0,76"
"2025/1/21 16:10:53 ";"00:00:48,2";"1";"1000";"3";"";"226,40";"237,10";"231,50";"3,91";"0,04";"0,20";"0,88";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,16";"0,91";"0,01";"13";"3,97";"0,91";"0,76"
"2025/1/21 16:10:54 ";"00:00:49,4";"1";"1000";"3";"";"227,20";"237,20";"231,50";"3,92";"0,04";"0,18";"0,89";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"49,90";"50,00";"1,00";"0,24";"0,42";"4,15";"0,91";"0,01";"13";"3,97";"0,91";"0,76"
"2025/1/21 16:10:55 ";"00:00:50,2";"1";"1000";"3";"";"228,50";"236,10";"231,30";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"13";"3,97";"0,91";"0,76"
"2025/1/21 16:10:56 ";"00:00:51,2";"1";"1000";"3";"";"228,50";"235,90";"231,30";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"14";"3,94";"0,91";"0,76"
"2025/1/21 16:10:57 ";"00:00:52,2";"1";"1000";"3";"";"228,40";"235,90";"231,20";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"14";"3,94";"0,91";"0,76"
"2025/1/21 16:10:58 ";"00:00:53,2";"1";"1000";"3";"";"228,40";"235,90";"231,30";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"14";"3,94";"0,91";"0,76"
"2025/1/21 16:10:59 ";"00:00:54,3";"1";"1000";"3";"";"228,40";"235,80";"231,30";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"14";"3,94";"0,91";"0,76"
"2025/1/21 16:11:0 ";"00:00:55,3";"1";"1000";"3";"";"228,40";"235,70";"231,20";"3,94";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"49,90";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"0,01";"15";"3,89";"0,91";"0,76"
"2025/1/21 16:11:1 ";"00:00:56,2";"1";"1000";"3";"";"228,40";"235,80";"231,10";"3,94";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"15";"3,89";"0,91";"0,76"
"2025/1/21 16:11:2 ";"00:00:57,2";"1";"1000";"3";"";"228,40";"235,60";"231,10";"3,94";"0,04";"0,19";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"15";"3,89";"0,91";"0,76"
"2025/1/21 16:11:3 ";"00:00:58,2";"1";"1000";"3";"";"228,30";"235,60";"231,00";"3,94";"0,04";"0,20";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,42";"4,19";"0,92";"0,01";"15";"3,89";"0,91";"0,76"
"2025/1/21 16:11:4 ";"00:00:59,2";"1";"1000";"3";"";"228,20";"235,60";"231,10";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"16";"3,92";"0,92";"-0,05"
"2025/1/21 16:11:5 ";"00:01:0,2";"1";"1000";"3";"";"228,20";"235,60";"231,10";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"16";"3,92";"0,92";"-0,05"
"2025/1/21 16:11:6 ";"00:01:1,2";"1";"1000";"3";"";"228,20";"235,60";"231,10";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"16";"3,92";"0,92";"-0,05"
"2025/1/21 16:11:7 ";"00:01:2,2";"1";"1000";"3";"";"228,10";"235,60";"231,10";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"16";"3,92";"0,92";"-0,05"
"2025/1/21 16:11:8 ";"00:01:3,2";"1";"1000";"3";"";"228,20";"235,70";"231,20";"3,94";"0,04";"0,18";"0,90";"0,00";"0,02";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,17";"0,92";"0,01";"17";"3,94";"0,92";"-0,05"
"2025/1/21 16:11:9 ";"00:01:4,2";"1";"1000";"3";"";"228,20";"235,70";"231,10";"3,94";"0,04";"0,21";"0,90";"0,00";"0,02";"0,02";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,42";"4,19";"0,92";"0,02";"17";"3,94";"0,92";"-0,05"
"2025/1/21 16:11:10 ";"00:01:5,0";"1";"1000";"3";"";"228,20";"235,60";"231,10";"3,94";"0,04";"0,21";"0,90";"0,00";"0,02";"0,02";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,42";"4,19";"0,92";"0,02";"17";"3,94";"0,92";"-0,05"
"2025/1/21 16:11:15 ";"00:01:6,3";"1";"1000";"2";"";"228,60";"235,10";"231,00";"3,95";"0,04";"0,18";"0,90";"0,00";"0,02";"0,02";"0,00";"0,00";"50,00";"49,90";"49,90";"1,00";"0,23";"0,41";"4,17";"0,92";"0,02";"18";"3,91";"0,92";"-0,05"
"2025/1/21 16:11:21 ";"00:00:1,8";"1";"1000";"1";"";"228,20";"234,80";"232,00";"3,94";"0,04";"0,20";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"49,90";"50,00";"50,00";"1,00";"0,23";"0,42";"4,19";"0,92";"";"0";"3,91";"";""
"2025/1/21 16:11:22 ";"00:00:2,2";"1";"1000";"1";"";"228,00";"234,80";"231,80";"3,94";"0,04";"0,20";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,41";"4,18";"0,92";"";"0";"3,91";"";""
"2025/1/21 16:11:23 ";"00:00:3,2";"1";"1000";"2";"";"228,00";"234,80";"231,80";"3,94";"0,04";"0,22";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,43";"4,20";"0,92";"";"0";"3,91";"";""
"2025/1/21 16:11:24 ";"00:00:4,4";"1";"1000";"2";"";"228,00";"234,90";"231,80";"3,94";"0,04";"0,22";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"49,90";"50,00";"1,00";"0,22";"0,43";"4,20";"0,92";"";"1";"7,81";"";""
"2025/1/21 16:11:25 ";"00:00:5,3";"1";"1000";"2";"";"228,10";"234,90";"231,90";"3,94";"0,04";"0,21";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,22";"0,43";"4,19";"0,92";"";"1";"7,81";"";""
"2025/1/21 16:11:26 ";"00:00:6,2";"1";"1000";"2";"";"228,20";"234,90";"231,90";"3,94";"0,04";"0,19";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,41";"4,17";"0,92";"0,00";"1";"7,81";"";""
"2025/1/21 16:11:27 ";"00:00:7,6";"1";"1000";"2";"";"228,20";"234,90";"231,80";"3,94";"0,04";"0,26";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,22";"0,44";"4,24";"0,93";"0,00";"1";"7,81";"";""
"2025/1/21 16:11:28 ";"00:00:8,5";"1";"1000";"2";"";"228,20";"234,90";"231,90";"3,94";"0,04";"0,22";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,44";"4,20";"0,92";"0,00";"2";"5,87";"0,61";"33,53"
"2025/1/21 16:11:29 ";"00:00:9,4";"1";"1000";"2";"";"228,20";"234,90";"231,90";"3,94";"0,04";"0,22";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,44";"4,20";"0,92";"0,00";"2";"5,87";"0,61";"33,53"
"2025/1/21 16:11:30 ";"00:00:10,5";"1";"1000";"2";"";"228,30";"234,80";"231,90";"3,94";"0,04";"0,23";"0,90";"0,00";"0,02";"0,00";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,22";"0,43";"4,22";"0,92";"0,00";"2";"5,87";"0,61";"33,53"
"2025/1/21 16:11:31 ";"00:00:11,4";"1";"1000";"2";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,35";"0,90";"0,00";"0,04";"0,00";"0,00";"0,00";"49,90";"49,90";"50,00";"1,00";"0,22";"0,48";"4,33";"0,94";"0,00";"2";"5,87";"0,61";"33,53"
"2025/1/21 16:11:32 ";"00:00:12,4";"1";"1000";"2";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,35";"0,90";"0,00";"0,04";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,48";"4,34";"0,94";"0,00";"3";"3,89";"0,61";"33,53"
"2025/1/21 16:11:33 ";"00:00:13,2";"1";"1000";"2";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,35";"0,90";"0,00";"0,04";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,48";"4,34";"0,94";"0,00";"3";"3,89";"0,61";"33,53"
"2025/1/21 16:11:34 ";"00:00:14,2";"1";"1000";"2";"";"228,30";"234,80";"231,70";"3,94";"0,04";"0,29";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,47";"4,28";"0,93";"0,00";"3";"3,89";"0,61";"33,53"
"2025/1/21 16:11:35 ";"00:00:15,2";"1";"1000";"2";"";"228,30";"234,70";"231,60";"3,94";"0,04";"0,27";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,45";"4,25";"0,93";"0,00";"3";"3,89";"0,61";"33,53"
"2025/1/21 16:11:36 ";"00:00:16,2";"1";"1000";"2";"";"228,30";"234,70";"231,80";"3,94";"0,04";"0,35";"0,90";"0,00";"0,04";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,48";"4,33";"0,94";"0,00";"4";"3,87";"0,93";"1,00"
"2025/1/21 16:11:37 ";"00:00:17,2";"1";"1000";"2";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,35";"0,90";"0,00";"0,04";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,48";"4,33";"0,94";"0,00";"4";"3,87";"0,93";"1,00"
"2025/1/21 16:11:38 ";"00:00:18,2";"1";"1000";"2";"";"228,30";"234,70";"231,80";"3,94";"0,04";"0,29";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,22";"0,46";"4,28";"0,93";"0,00";"4";"3,87";"0,93";"1,00"
"2025/1/21 16:11:39 ";"00:00:19,2";"1";"1000";"2";"";"228,20";"234,70";"231,80";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,22";"0,45";"4,26";"0,93";"0,00";"4";"3,87";"0,93";"1,00"
"2025/1/21 16:11:40 ";"00:00:20,2";"1";"1000";"2";"";"228,30";"234,80";"231,80";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,26";"0,93";"0,00";"5";"3,88";"0,93";"1,00"
"2025/1/21 16:11:41 ";"00:00:21,2";"1";"1000";"2";"";"228,40";"234,90";"231,80";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,00";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,46";"4,27";"0,93";"0,00";"5";"3,88";"0,93";"1,00"
"2025/1/21 16:11:42 ";"00:00:22,2";"1";"1000";"2";"";"228,40";"234,90";"231,50";"3,94";"0,04";"0,29";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,28";"0,93";"0,01";"5";"3,88";"0,93";"1,00"
"2025/1/21 16:11:43 ";"00:00:23,2";"1";"1000";"2";"";"228,40";"234,90";"231,50";"3,94";"0,04";"0,29";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,28";"0,93";"0,01";"6";"3,90";"0,92";"1,08"
"2025/1/21 16:11:44 ";"00:00:24,2";"1";"1000";"2";"";"228,40";"234,80";"231,50";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,26";"0,93";"0,01";"6";"3,90";"0,92";"1,08"
"2025/1/21 16:11:45 ";"00:00:25,2";"1";"1000";"2";"";"228,40";"234,80";"231,50";"3,94";"0,04";"0,27";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,26";"0,93";"0,01";"6";"3,90";"0,92";"1,08"
"2025/1/21 16:11:46 ";"00:00:26,2";"1";"1000";"2";"";"228,40";"234,80";"231,50";"3,94";"0,04";"0,27";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,26";"0,93";"0,01";"6";"3,90";"0,92";"1,08"
"2025/1/21 16:11:47 ";"00:00:27,2";"1";"1000";"2";"";"228,40";"234,80";"231,50";"3,94";"0,04";"0,27";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,45";"4,26";"0,93";"0,01";"7";"3,85";"0,92";"1,08"
"2025/1/21 16:11:48 ";"00:00:28,2";"1";"1000";"1";"";"228,60";"234,80";"231,40";"3,95";"0,04";"0,29";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,28";"0,93";"0,01";"7";"3,85";"0,92";"1,08"
"2025/1/21 16:11:49 ";"00:00:29,2";"1";"1000";"1";"";"228,40";"234,80";"231,40";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,26";"0,93";"0,01";"7";"3,85";"0,92";"1,08"
"2025/1/21 16:11:50 ";"00:00:30,3";"1";"1000";"1";"";"228,40";"234,90";"231,40";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"50,00";"1,00";"0,23";"0,46";"4,27";"0,93";"0,01";"7";"3,85";"0,92";"1,08"
"2025/1/21 16:11:51 ";"00:00:31,2";"1";"1000";"1";"";"228,40";"234,80";"231,40";"3,94";"0,04";"0,28";"0,90";"0,00";"0,03";"0,01";"0,00";"0,00";"50,00";"50,00";"49,90";"1,00";"0,23";"0,46";"4,27";"0,93";"0,01";"8";"3,87";"0,93";"0,35"
